arm,epoch,physics_regularization
gan_cnt,33599,3.913736e-01
gan_cnt,33699,3.361073e-01
gan_cnt,33799,2.721169e-01
gan_cnt,33899,3.175420e-01
gan_cnt,33999,3.016513e-01
gan_cnt,34099,3.225839e-01
gan_cnt,34199,3.480968e-01
gan_cnt,34299,3.985434e-01
gan_cnt,34399,2.856967e-01
gan_cnt,34499,2.594007e-01
gan_cnt,34599,3.499762e-01
gan_cnt,34699,3.613418e-01
gan_cnt,34799,3.631614e-01
gan_cnt,34899,2.561947e-01
gan_cnt,34999,2.854005e-01
gan_cnt,35099,2.764166e-01
gan_cnt,35199,3.834813e-01
gan_cnt,35299,3.822024e-01
gan_cnt,35399,2.334917e-01
gan_cnt,35499,3.623495e-01
gan_cnt,35599,2.189003e-01
gan_cnt,35699,2.826636e-01
gan_cnt,35799,2.937771e-01
gan_cnt,35899,2.677679e-01
gan_cnt,35999,3.676603e-01
gan_cnt,36099,4.665090e-01
gan_cnt,36199,3.050337e-01
gan_cnt,36299,3.679677e-01
gan_cnt,36399,2.272924e-01
gan_cnt,36499,2.139182e-01
gan_cnt,36599,2.654600e-01
gan_cnt,36699,2.159366e-01
gan_cnt,36799,2.906211e-01
gan_cnt,36899,3.332058e-01
gan_cnt,36999,2.240482e-01
gan_cnt,37099,3.130739e-01
gan_cnt,37199,3.656840e-01
gan_cnt,37299,3.416538e-01
gan_cnt,37399,2.230532e-01
gan_cnt,37499,3.973132e-01
gan_cnt,37599,2.565409e-01
gan_cnt,37699,3.137393e-01
gan_cnt,37799,3.095912e-01
gan_cnt,37899,2.549247e-01
gan_cnt,37999,2.458384e-01
gan_cnt,38099,4.056742e-01
gan_cnt,38199,2.039878e-01
gan_cnt,38299,2.659946e-01
gan_cnt,38399,2.878347e-01
gan_cnt,38499,3.041070e-01
gan_cnt,38599,4.260941e-01
gan_cnt,38699,2.744250e-01
gan_cnt,38799,2.158219e-01
gan_cnt,38899,3.678032e-01
gan_cnt,38999,2.975192e-01
gan_cnt,39099,3.731607e-01
gan_cnt,39199,3.633929e-01
gan_cnt,39299,2.168317e-01
gan_cnt,39399,3.905408e-01
gan_cnt,39499,3.635703e-01
gan_cnt,39599,3.224466e-01
gan_cnt,39699,2.426063e-01
gan_cnt,39799,3.847937e-01
gan_cnt,39899,3.403354e-01
gan_cnt,39999,3.900735e-01
gan_sec,0,6.279300e-01
gan_sec,99,2.210803e-01
gan_sec,199,1.163363e-01
gan_sec,299,1.218751e-01
gan_sec,399,1.001240e-01
gan_sec,499,6.423239e-02
gan_sec,599,6.587686e-02
gan_sec,699,6.936826e-02
